Freq,normFlux
1926.86,Inf
1926.87,Inf
1926.87,Inf
1926.88,Inf
1926.89,Inf
1926.89,0.888805
1926.90,0.982419
1926.90,0.969480
1926.91,0.987708
1926.91,1.01514
1926.92,1.03915
1926.93,0.980574
1926.93,1.03912
1926.94,0.962992
1926.94,0.939049
1926.95,0.990793
1926.95,1.02140
1926.96,1.03057
1926.97,0.999238
1926.97,0.973427
1926.98,0.958075
1926.98,0.963577
1926.99,0.941128
1927.00,0.950086
1927.00,0.951876
1927.01,0.962492
1927.01,0.974189
1927.02,0.998928
1927.03,0.989222
1927.03,0.981462
1927.04,0.998829
1927.04,0.992680
1927.05,0.961277
1927.06,0.990946
1927.06,0.998038
1927.07,1.03575
1927.07,1.00657
1927.08,0.993015
1927.09,0.984744
1927.09,1.04417
1927.10,1.03315
1927.10,1.00996
1927.11,1.00206
1927.12,1.05825
1927.12,1.02860
1927.13,1.02728
1927.14,1.02306
1927.14,0.986643
1927.15,0.972395
1927.15,1.03685
1927.16,1.02412
1927.17,1.01688
1927.17,0.997456
1927.18,0.987250
1927.19,0.974643
1927.19,0.980322
1927.20,0.991602
1927.20,1.00451
1927.21,1.00820
1927.22,1.00871
1927.22,1.02678
1927.23,1.02887
1927.24,0.994951
1927.24,1.04351
1927.25,0.984421
1927.25,1.02065
1927.26,1.04420
1927.27,1.02494
1927.27,0.994288
1927.28,1.01094
1927.29,0.993342
1927.29,1.00402
1927.30,1.02274
1927.31,0.986410
1927.31,0.988015
1927.32,0.979578
1927.33,1.02935
1927.33,1.04103
1927.34,0.987239
1927.35,0.962433
1927.35,0.977283
1927.36,1.02587
1927.37,1.01170
1927.37,1.03562
1927.38,0.984795
1927.39,0.997205
1927.39,1.01173
1927.40,1.00919
1927.40,1.00309
1927.41,1.01571
1927.42,1.00472
1927.42,0.999739
1927.43,1.02306
1927.44,1.03097
1927.44,1.03415
1927.45,1.03381
1927.46,1.01454
1927.46,1.02136
1927.47,0.999517
1927.48,0.978640
1927.48,0.990122
1927.49,0.988464
1927.50,0.960370
1927.51,0.968896
1927.51,0.978054
1927.52,0.972870
1927.53,0.965901
1927.53,0.968212
1927.54,0.977025
1927.55,0.946705
1927.55,0.932435
1927.56,0.969548
1927.57,0.970041
1927.57,0.984229
1927.58,0.974569
1927.59,1.02462
1927.59,1.06542
1927.60,1.04760
1927.61,1.00674
1927.61,0.975899
1927.62,1.01395
1927.63,1.00372
1927.64,1.02224
1927.64,1.01518
1927.65,0.995803
1927.66,0.996012
1927.66,1.00181
1927.67,0.975331
1927.68,0.987736
1927.68,0.978921
1927.69,1.02002
1927.70,0.969930
1927.70,0.994555
1927.71,0.963397
1927.72,1.00071
1927.73,1.00594
1927.73,0.990779
1927.74,0.965562
1927.75,0.986760
1927.75,0.988672
1927.76,1.04503
1927.77,1.02558
1927.77,1.03634
1927.78,1.03288
1927.79,Inf
1927.80,Inf
1927.80,Inf
1927.81,1.08239
1927.82,Inf
1927.82,Inf
1927.83,Inf
1927.84,Inf
1927.85,Inf
1927.85,Inf
1927.86,Inf
1927.87,1.02219
1927.87,1.02678
1927.88,1.05043
1927.89,1.01664
1927.89,1.01348
1927.90,0.962117
1927.91,0.966000
1927.92,0.982306
1927.92,1.03132
1927.93,1.01524
1927.94,0.988738
1927.94,0.973332
1927.95,0.988180
1927.96,1.00931
1927.97,1.01897
1927.97,0.986915
1927.98,0.991417
1927.99,0.982360
1928.00,0.954157
1928.00,0.984290
1928.01,1.02553
1928.02,0.970604
1928.02,0.983855
1928.03,0.999497
1928.04,1.01756
1928.05,0.981943
1928.05,0.976686
1928.06,1.00916
1928.07,1.01416
1928.07,1.03437
1928.08,1.01452
1928.09,1.02373
1928.10,0.968346
1928.10,0.964086
1928.11,0.996351
1928.12,0.966659
1928.13,0.998981
1928.13,0.974211
1928.14,0.985363
1928.15,1.02060
1928.15,1.00537
1928.16,1.00165
1928.17,1.02948
1928.18,1.01556
1928.18,1.01831
1928.19,1.00987
